source_env,target_city,target_env,cfcmt_ratio_vs_h2oplus,cfcmt_beats_h2oplus
austin_capmetro_all,Singapore,singapore_lta_all,1.0053017606197083,False
halifax_transit_all,Singapore,singapore_lta_all,1.0070044680889376,False
mbta_all,Singapore,singapore_lta_all,0.9957172207798662,True
singapore_lta_all,Austin / CapMetro,austin_capmetro_all,0.8217974730102777,True
halifax_transit_all,Austin / CapMetro,austin_capmetro_all,0.8455873532690316,True
mbta_all,Austin / CapMetro,austin_capmetro_all,0.8362956132588336,True
singapore_lta_all,Halifax Transit,halifax_transit_all,0.7801912645570271,True
austin_capmetro_all,Halifax Transit,halifax_transit_all,1.043878524175318,False
mbta_all,Halifax Transit,halifax_transit_all,1.0313810262734726,False
singapore_lta_all,MBTA,mbta_all,0.6588772071858028,True
austin_capmetro_all,MBTA,mbta_all,1.0470187141497538,False
halifax_transit_all,MBTA,mbta_all,1.0528116986917548,False
