target_city,mechanism,h2oplus_mse,cfcmt_mse,weighted_cfcmt_mse,cfcmt_ratio,weighted_ratio
Singapore,demand_stop_reward,291.11008880948077,190.07789041781896,189.14720607455527,0.6529416111793257,0.6497445926662614
Singapore,headway_gap,3880.1006086925345,3926.1385403193044,3935.6559672842473,1.01186513863162,1.0143180201222755
Singapore,speed,19.859930707768697,19.096892703556726,19.651116518572657,0.9615790198143295,0.9894856536878873
Austin / CapMetro,demand_stop_reward,7.1219213654978235,6.165360179450317,6.018349582176782,0.8656877636024498,0.8450457781424968
Austin / CapMetro,headway_gap,160.7000251078656,118.08943212833893,62.13633398507706,0.7348438934534985,0.3866603875349099
Austin / CapMetro,speed,2.885716138929475,1.4856728084197628,1.1408485498274992,0.5148367811987594,0.3953433029801483
Halifax Transit,demand_stop_reward,3.8670348001741512,3.7802673970145775,3.519517341969959,0.9775622905809728,0.9101333512208005
Halifax Transit,headway_gap,171.77624737206787,122.58909508796998,96.0562418148643,0.7136556826884315,0.5591939705540673
Halifax Transit,speed,3.5752030995135686,2.1068619114557787,1.942365852679911,0.5892985245348529,0.5432882548530413
MBTA,demand_stop_reward,38.22574635289002,29.915109963228947,25.902494053191642,0.7825906049566836,0.6776190532440267
MBTA,headway_gap,549.4178895081407,315.3744088592182,185.17742703822768,0.5740155442363791,0.33704295141173035
MBTA,speed,9.1657552441948,11.142275174885896,6.833752474948839,1.2156417968877076,0.7455744008958833
