target_city,target_env,source_env,source_weight
Singapore,singapore_lta_all,austin_capmetro_all,0.31058906139517783
Singapore,singapore_lta_all,halifax_transit_all,0.34793484997932994
Singapore,singapore_lta_all,mbta_all,0.34147608862549217
MBTA,mbta_all,singapore_lta_all,0.33027601953738916
MBTA,mbta_all,austin_capmetro_all,0.33973027694049274
MBTA,mbta_all,halifax_transit_all,0.32999370352211815
Austin / CapMetro,austin_capmetro_all,singapore_lta_all,0.298803024891188
Austin / CapMetro,austin_capmetro_all,halifax_transit_all,0.3634597104368773
Austin / CapMetro,austin_capmetro_all,mbta_all,0.33773726467193477
Halifax Transit,halifax_transit_all,singapore_lta_all,0.32604412984423065
Halifax Transit,halifax_transit_all,austin_capmetro_all,0.35421047459183025
Halifax Transit,halifax_transit_all,mbta_all,0.3197453955639391
